ENSMUSG00000102693.1	RP23-271O17.1	Gene Expression
ENSMUSG00000064842.1	Gm26206	Gene Expression
ENSMUSG00000051951.5	Xkr4	Gene Expression
ENSMUSG00000102851.1	RP23-317L18.1	Gene Expression
ENSMUSG00000103377.1	RP23-317L18.4	Gene Expression
ENSMUSG00000104017.1	RP23-317L18.3	Gene Expression
ENSMUSG00000103025.1	RP23-115I1.6	Gene Expression
ENSMUSG00000089699.1	RP23-115I1.1	Gene Expression
ENSMUSG00000103201.1	RP23-115I1.5	Gene Expression
ENSMUSG00000103147.1	RP23-115I1.2	Gene Expression
ENSMUSG00000103161.1	RP23-115I1.3	Gene Expression
ENSMUSG00000102331.1	RP23-122M2.3	Gene Expression
ENSMUSG00000102348.1	RP23-122M2.2	Gene Expression
ENSMUSG00000102592.1	RP23-122M2.1	Gene Expression
ENSMUSG00000088333.2	Gm27396	Gene Expression
ENSMUSG00000102343.1	RP23-333I7.1	Gene Expression
ENSMUSG00000025900.12	Rp1	Gene Expression
ENSMUSG00000102948.1	RP23-177A20.1	Gene Expression
ENSMUSG00000104123.1	RP23-391E12.2	Gene Expression
ENSMUSG00000025902.13	Sox17	Gene Expression
ENSMUSG00000104238.1	RP23-285G23.2	Gene Expression
ENSMUSG00000102269.1	RP23-285G23.3	Gene Expression
ENSMUSG00000096126.1	Gm22307	Gene Expression
ENSMUSG00000103003.1	RP23-285G23.4	Gene Expression
ENSMUSG00000104328.1	RP23-37D15.1	Gene Expression
ENSMUSG00000102735.1	RP23-37D15.2	Gene Expression
ENSMUSG00000098104.1	RP23-34E15.1	Gene Expression
ENSMUSG00000102175.1	RP23-34E15.2	Gene Expression
ENSMUSG00000088000.1	Gm25493	Gene Expression
ENSMUSG00000103265.1	RP23-34E15.3	Gene Expression
ENSMUSG00000103922.1	RP23-34E15.4	Gene Expression
ENSMUSG00000033845.13	Mrpl15	Gene Expression
ENSMUSG00000102275.1	RP23-34E15.5	Gene Expression
ENSMUSG00000025903.14	Lypla1	Gene Expression
ENSMUSG00000104217.1	RP24-426M1.3	Gene Expression
ENSMUSG00000033813.15	Tcea1	Gene Expression
ENSMUSG00000062588.4	RP24-426M1.2	Gene Expression
ENSMUSG00000103280.1	RP24-426M1.4	Gene Expression
ENSMUSG00000002459.17	Rgs20	Gene Expression
ENSMUSG00000091305.1	RP24-141F9.1	Gene Expression
ENSMUSG00000102653.1	RP24-141F9.2	Gene Expression
ENSMUSG00000085623.1	AC102242.1	Gene Expression
ENSMUSG00000091665.1	RP24-363O2.1	Gene Expression
ENSMUSG00000033793.12	Atp6v1h	Gene Expression
ENSMUSG00000104352.1	RP23-267J18.11	Gene Expression
ENSMUSG00000104046.1	RP23-267J18.10	Gene Expression
ENSMUSG00000102907.1	RP23-335P21.1	Gene Expression
ENSMUSG00000025905.13	Oprk1	Gene Expression
ENSMUSG00000103936.1	RP23-238E7.2	Gene Expression
ENSMUSG00000093015.1	Gm22463	Gene Expression
ENSMUSG00000103519.1	RP23-354J2.1	Gene Expression
ENSMUSG00000033774.4	Npbwr1	Gene Expression
ENSMUSG00000103090.1	RP23-74E8.1	Gene Expression
ENSMUSG00000025907.14	Rb1cc1	Gene Expression
ENSMUSG00000090031.2	AC139064.2	Gene Expression
ENSMUSG00000087247.3	Fam150a	Gene Expression
ENSMUSG00000103355.1	RP23-76C20.3	Gene Expression
ENSMUSG00000102706.1	RP23-76C20.2	Gene Expression
ENSMUSG00000103845.1	RP23-76C20.4	Gene Expression
ENSMUSG00000033740.17	St18	Gene Expression
ENSMUSG00000103329.2	RP23-299N6.3	Gene Expression
ENSMUSG00000104385.1	RP23-299N6.1	Gene Expression
ENSMUSG00000102135.1	RP23-5K7.4	Gene Expression
ENSMUSG00000103282.1	RP23-76C20.5	Gene Expression
ENSMUSG00000102534.1	RP23-5K7.3	Gene Expression
ENSMUSG00000102213.1	RP23-5K7.2	Gene Expression
ENSMUSG00000103629.1	RP23-5K7.1	Gene Expression
ENSMUSG00000051285.17	Pcmtd1	Gene Expression
ENSMUSG00000098201.1	RP24-149G24.1	Gene Expression
ENSMUSG00000103509.1	WI1-817D1.2	Gene Expression
ENSMUSG00000048538.7	RP23-278C19.3	Gene Expression
ENSMUSG00000103709.1	Nras-ps2	Gene Expression
ENSMUSG00000077244.1	Gm23274	Gene Expression
ENSMUSG00000102768.1	RP23-278C19.1	Gene Expression
ENSMUSG00000097797.6	RP24-263A16.1	Gene Expression
ENSMUSG00000103498.1	RP24-263A16.2	Gene Expression
ENSMUSG00000103067.1	RP24-181G14.2	Gene Expression
