Library_ID,code,condition,age,mice_id,experiment,Solexa,well,nas_ID,column,row,indexes
CM1537,ID-SNI-634-1-A,2n,3 mo,AN18CUK011304,SNI-634,,1A,AS-399432-LR-46507,1,A,N701-S502
CM1538,ID-SNI-634-1-B,2n,3 mo,AN18CUK011304,SNI-634,,1B,AS-399434-LR-46507,1,B,N702-S502
CM1539,ID-SNI-634-1-C,2n,3 mo,AN18CUK011304,SNI-634,,1C,AS-399436-LR-46507,1,C,N701-S503
CM1540,ID-SNI-634-1-D,2n,3 mo,AN18CUK011304,SNI-634,,1D,AS-399438-LR-46507,1,D,N702-S503
CM1541,ID-SNI-634-1-E,4n,3 mo,AN18CUK011304,SNI-634,,1E,AS-399440-LR-46507,1,E,N701-S505
CM1542,ID-SNI-634-1-F,4n,3 mo,AN18CUK011304,SNI-634,,1F,AS-399442-LR-46507,1,F,N702-S505
CM1543,ID-SNI-634-1-G,4n,3 mo,AN18CUK011304,SNI-634,,1G,AS-399444-LR-46507,1,G,N701-S506
CM1544,ID-SNI-634-1-H,4n,3 mo,AN18CUK011304,SNI-634,,1H,AS-399446-LR-46507,1,H,N702-S506
CM1545,ID-SNI-634-1-I,2n,22.5 mo,AN16CUK001604,SNI-634,,1I,AS-399448-LR-46507,1,I,N701-S507
CM1546,ID-SNI-634-1-J,2n,22.5 mo,AN16CUK001604,SNI-634,,1J,AS-399450-LR-46507,1,J,N702-S507
CM1547,ID-SNI-634-1-K,2n,22.5 mo,AN16CUK001604,SNI-634,,1K,AS-399452-LR-46507,1,K,N701-S508
CM1548,ID-SNI-634-1-L,2n,22.5 mo,AN16CUK001604,SNI-634,,1L,AS-399454-LR-46507,1,L,N702-S508
CM1549,ID-SNI-634-1-M,4n,22.5 mo,AN16CUK001604,SNI-634,,1M,AS-399456-LR-46507,1,M,N701-S510
CM1550,ID-SNI-634-1-N,4n,22.5 mo,AN16CUK001604,SNI-634,,1N,AS-399458-LR-46507,1,N,N702-S510
CM1551,ID-SNI-634-1-O,4n,22.5 mo,AN16CUK001604,SNI-634,,1O,AS-399460-LR-46507,1,O,N701-S511
CM1552,ID-SNI-634-1-P,4n,22.5 mo,AN16CUK001604,SNI-634,,1P,AS-399462-LR-46507,1,P,N702-S511
CM1553,ID-SNI-634-2-A,2n,3 mo,AN18CUK011304,SNI-634,,2A,AS-399464-LR-46507,2,A,N703-S502
CM1554,ID-SNI-634-2-B,2n,3 mo,AN18CUK011304,SNI-634,,2B,AS-399466-LR-46507,2,B,N704-S502
CM1555,ID-SNI-634-2-C,2n,3 mo,AN18CUK011304,SNI-634,,2C,AS-399468-LR-46507,2,C,N703-S503
CM1556,ID-SNI-634-2-D,2n,3 mo,AN18CUK011304,SNI-634,,2D,AS-399470-LR-46507,2,D,N704-S503
CM1557,ID-SNI-634-2-E,4n,3 mo,AN18CUK011304,SNI-634,,2E,AS-399472-LR-46507,2,E,N703-S505
CM1558,ID-SNI-634-2-F,4n,3 mo,AN18CUK011304,SNI-634,,2F,AS-399474-LR-46507,2,F,N704-S505
CM1559,ID-SNI-634-2-G,4n,3 mo,AN18CUK011304,SNI-634,,2G,AS-399476-LR-46507,2,G,N703-S506
CM1560,ID-SNI-634-2-H,4n,3 mo,AN18CUK011304,SNI-634,,2H,AS-399478-LR-46507,2,H,N704-S506
CM1561,ID-SNI-634-2-I,2n,22.5 mo,AN16CUK001604,SNI-634,,2I,AS-399480-LR-46507,2,I,N703-S507
CM1562,ID-SNI-634-2-J,2n,22.5 mo,AN16CUK001604,SNI-634,,2J,AS-399482-LR-46507,2,J,N704-S507
CM1563,ID-SNI-634-2-K,2n,22.5 mo,AN16CUK001604,SNI-634,,2K,AS-399484-LR-46507,2,K,N703-S508
CM1564,ID-SNI-634-2-L,2n,22.5 mo,AN16CUK001604,SNI-634,,2L,AS-399486-LR-46507,2,L,N704-S508
CM1565,ID-SNI-634-2-M,4n,22.5 mo,AN16CUK001604,SNI-634,,2M,AS-399488-LR-46507,2,M,N703-S510
CM1566,ID-SNI-634-2-N,4n,22.5 mo,AN16CUK001604,SNI-634,,2N,AS-399490-LR-46507,2,N,N704-S510
CM1567,ID-SNI-634-2-O,4n,22.5 mo,AN16CUK001604,SNI-634,,2O,AS-399492-LR-46507,2,O,N703-S511
CM1568,ID-SNI-634-2-P,4n,22.5 mo,AN16CUK001604,SNI-634,,2P,AS-399494-LR-46507,2,P,N704-S511
CM1569,ID-SNI-634-3-A,2n,3 mo,AN18CUK011304,SNI-634,,3A,AS-399496-LR-46507,3,A,N705-S502
CM1570,ID-SNI-634-3-B,2n,3 mo,AN18CUK011304,SNI-634,,3B,AS-399498-LR-46507,3,B,N706-S502
CM1571,ID-SNI-634-3-C,2n,3 mo,AN18CUK011304,SNI-634,,3C,AS-399500-LR-46507,3,C,N705-S503
CM1572,ID-SNI-634-3-D,2n,3 mo,AN18CUK011304,SNI-634,,3D,AS-399502-LR-46507,3,D,N706-S503
CM1573,ID-SNI-634-3-E,4n,3 mo,AN18CUK011304,SNI-634,,3E,AS-399504-LR-46507,3,E,N705-S505
CM1574,ID-SNI-634-3-F,4n,3 mo,AN18CUK011304,SNI-634,,3F,AS-399506-LR-46507,3,F,N706-S505
CM1575,ID-SNI-634-3-G,4n,3 mo,AN18CUK011304,SNI-634,,3G,AS-399508-LR-46507,3,G,N705-S506
CM1576,ID-SNI-634-3-H,4n,3 mo,AN18CUK011304,SNI-634,,3H,AS-399510-LR-46507,3,H,N706-S506
CM1577,ID-SNI-634-3-I,2n,22.5 mo,AN16CUK001604,SNI-634,,3I,AS-399512-LR-46507,3,I,N705-S507
CM1578,ID-SNI-634-3-J,2n,22.5 mo,AN16CUK001604,SNI-634,,3J,AS-399514-LR-46507,3,J,N706-S507
CM1579,ID-SNI-634-3-K,2n,22.5 mo,AN16CUK001604,SNI-634,,3K,AS-399516-LR-46507,3,K,N705-S508
CM1580,ID-SNI-634-3-L,2n,22.5 mo,AN16CUK001604,SNI-634,,3L,AS-399518-LR-46507,3,L,N706-S508
