STAR version=2.7.9a
STAR compilation time,server,dir= :/Users/cshl/data/STAR/STAR/source
##### Command Line:
STAR --runMode genomeGenerate --runThreadN 3 --genomeDir /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17 --genomeFastaFiles /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta --sjdbGTFfile /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.gtf
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runMode                       genomeGenerate        ~RE-DEFINED
runThreadN                    3     ~RE-DEFINED
genomeDir                     /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17     ~RE-DEFINED
genomeFastaFiles              /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta        ~RE-DEFINED
sjdbGTFfile                   /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.gtf     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        3
genomeDir                         /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17
genomeFastaFiles                  /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta   
sjdbGTFfile                       /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.gtf

-------------------------------
##### Final effective command line:
STAR   --runMode genomeGenerate      --runThreadN 3   --genomeDir /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17   --genomeFastaFiles /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta      --sjdbGTFfile /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.gtf
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/
!!!!! WARNING: Could not move Log.out file from ./Log.out into /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/Log.out. Will keep ./Log.out

Nov 10 17:20:16 ... starting to generate Genome files
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 0  "chr1" chrStart: 0
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 1  "chr2" chrStart: 195559424
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 2  "chr3" chrStart: 377749504
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 3  "chr4" chrStart: 537919488
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 4  "chr5" chrStart: 694681600
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 5  "chr6" chrStart: 846725120
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 6  "chr7" chrStart: 996671488
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 7  "chr8" chrStart: 1142161408
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 8  "chr9" chrStart: 1271660544
